id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,age_certification_num,weighted_rating
tm195209,Legend,MOVIE,2015,R,132,"['thriller', 'crime', 'drama', 'european']","['US', 'FR', 'GB']",0,tt3569230,6.9,175273,5.0,6.897
ts36631,Narcos,SHOW,2015,TV-MA,52,"['drama', 'thriller', 'crime']",['US'],3,tt2707408,8.8,404486,5.0,8.766
ts42062,Miraculous: Tales of Ladybug & Cat Noir,SHOW,2015,TV-Y7,22,"['family', 'fantasy', 'romance', 'animation', 'action']",['FR'],4,tt2580046,7.7,10102,2.0,7.339
ts41956,Designated Survivor,SHOW,2016,TV-PG,44,"['war', 'action', 'drama', 'thriller']",['US'],3,tt5296406,7.5,88019,3.0,7.45
ts36015,Into the Badlands,SHOW,2015,TV-14,43,"['action', 'drama']",['US'],3,tt3865236,7.9,45628,4.0,7.756
ts21981,iZombie,SHOW,2015,TV-14,42,"['scifi', 'comedy', 'crime', 'drama', 'horror']",['US'],5,tt3501584,7.8,66488,4.0,7.707
ts38710,Wynonna Earp,SHOW,2016,TV-14,43,"['action', 'scifi', 'western', 'drama', 'fantasy', 'thriller']","['US', 'CA']",4,tt4878326,7.3,22256,4.0,7.185
tm120609,"Hail, Caesar!",MOVIE,2016,PG-13,106,"['drama', 'comedy', 'music']",['US'],0,tt0475290,6.3,132821,3.0,6.326
ts35253,Dark Matter,SHOW,2015,TV-14,43,"['scifi', 'drama', 'thriller', 'action']",['CA'],3,tt3116070,7.5,41867,4.0,7.402
ts35554,Scream: The TV Series,SHOW,2015,TV-14,43,"['crime', 'horror', 'thriller', 'comedy', 'drama']",['US'],3,tt3921180,7.1,40082,4.0,7.058
ts38090,Versailles,SHOW,2015,TV-MA,54,"['drama', 'history', 'romance', 'war', 'documentation', 'comedy', 'european']","['CA', 'FR']",3,tt3830558,7.9,16273,5.0,7.575
tm233377,The Edge of Seventeen,MOVIE,2016,R,104,"['comedy', 'drama']",['US'],0,tt1878870,7.3,120488,5.0,7.274
tm193769,Steve Jobs,MOVIE,2015,R,122,['drama'],"['GB', 'US']",0,tt3565344,7.2,166288,5.0,7.185
ts35563,Supergirl,SHOW,2015,TV-14,42,"['scifi', 'drama', 'action']",['US'],6,tt4016454,6.2,121939,4.0,6.234
ts36129,Crazy Ex-Girlfriend,SHOW,2015,TV-14,42,['comedy'],['US'],4,tt4094300,7.8,19738,4.0,7.543
tm233425,A Silent Voice: The Movie,MOVIE,2016,PG-13,130,"['romance', 'animation', 'drama', 'family']",['JP'],0,tt5323662,8.1,75132,3.0,7.991
ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,"['war', 'drama', 'history', 'romance', 'thriller', 'european']","['GB', 'IT']",3,tt5057130,7.9,18575,4.0,7.604
ts38734,Marcella,SHOW,2016,TV-MA,45,"['crime', 'drama', 'european']",['GB'],3,tt5269594,7.4,30373,5.0,7.291
tm143984,London Has Fallen,MOVIE,2016,R,99,"['thriller', 'crime', 'drama', 'action']","['BG', 'GB', 'US']",0,tt3300542,5.9,155997,5.0,5.94
tm212927,Mr. Right,MOVIE,2016,R,95,"['comedy', 'romance', 'action']",['US'],0,tt2091935,6.3,55118,5.0,6.359
ts53099,Bordertown,SHOW,2016,TV-MA,59,"['drama', 'crime', 'european']",['FI'],3,tt4937942,7.6,10371,5.0,7.285
ts53664,Fauda,SHOW,2015,TV-MA,40,"['war', 'thriller', 'action', 'drama']",['IL'],3,tt4565380,8.3,25239,5.0,7.978
tm143085,Chappie,MOVIE,2015,R,120,"['scifi', 'drama', 'thriller', 'action', 'crime']","['MX', 'ZA', 'US']",0,tt1823672,6.8,247192,5.0,6.801
tm209987,Christine,MOVIE,2016,R,115,['drama'],['US'],0,tt4666726,6.9,14977,5.0,6.874
ts38415,Frontier,SHOW,2016,TV-MA,46,"['action', 'drama', 'history']",['CA'],3,tt4686698,7.1,20706,5.0,7.029
tm137002,Bāhubali: The Beginning,MOVIE,2015,PG-13,159,"['drama', 'action', 'fantasy']",['IN'],0,tt2631186,8.0,117333,3.0,7.933
tm239676,Hush,MOVIE,2016,R,82,"['horror', 'thriller']",['US'],0,tt5022702,6.6,123667,5.0,6.612
ts42169,ERASED,SHOW,2016,TV-14,22,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",['JP'],1,tt5249462,8.5,42699,4.0,8.263
tm138297,The Conjuring 2,MOVIE,2016,R,134,"['thriller', 'horror', 'drama']",['US'],0,tt3065204,7.3,260693,5.0,7.287
